ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
222,1,2,2,14,0,448,4,66,1
223,1,2,1,29,0,256,1,37,0
224,8,2,2,66,1,364,4,61,0
225,2,1,2,30,1,208,4,26,0
226,2,1,2,54,1,538,1,22,0
227,1,2,2,64,0,571,1,26,0
228,4,2,2,76,0,616,4,24,1
229,5,2,2,78,1,601,4,31,0
230,1,2,2,62,1,856,1,24,0
231,1,2,2,91,0,820,4,22,1
232,7,2,2,74,1,886,1,46,1
233,2,1,2,50,1,262,3,22,0
234,1,2,2,54,0,550,3,29,0
235,4,1,2,56,1,391,2,23,0
236,1,2,2,81,0,808,3,26,1
237,8,2,2,42,1,577,3,51,1
238,1,2,2,54,0,823,4,23,1
239,10,2,2,42,0,424,4,32,1
240,1,2,2,9,0,52,3,27,0
241,2,1,2,48,0,376,1,21,0
242,5,1,2,64,1,493,3,22,0
243,1,2,2,24,0,268,3,22,1
244,7,2,1,44,1,313,4,33,1
245,3,2,2,70,1,646,2,29,0
246,10,2,2,30,0,400,4,49,1
247,1,2,2,34,0,436,2,41,0
248,1,2,2,66,1,1069,3,23,1
249,10,2,2,66,1,562,2,34,0
250,2,2,2,38,0,403,1,23,0
251,1,2,2,40,0,436,3,42,0
252,1,2,2,35,0,340,2,27,0
253,3,1,2,28,1,232,2,24,0
254,1,1,2,64,0,574,1,25,0
255,13,1,2,14,1,328,4,44,1
256,2,2,2,70,0,508,3,21,1
257,4,2,2,78,0,403,3,30,0
258,3,2,2,44,0,361,1,25,0
259,2,2,1,32,1,277,4,24,0
260,12,2,2,56,1,499,4,51,1
261,4,2,2,30,1,427,2,34,0
262,1,2,1,39,0,400,4,27,1
263,5,1,2,64,0,463,3,24,0
264,4,2,2,30,0,472,1,63,0
265,1,2,2,50,0,460,1,35,1
266,6,1,2,36,1,508,4,43,0
267,1,2,1,46,0,589,4,25,1
268,3,2,2,84,0,700,4,24,0
269,1,2,2,30,0,253,1,21,0
270,1,2,1,31,0,325,2,28,1
271,11,2,2,74,0,868,4,38,1
272,3,2,2,64,1,256,1,21,0
273,1,2,2,22,0,190,2,40,0
274,2,1,2,100,1,496,3,21,0
275,1,2,2,57,0,526,2,52,0
276,3,1,2,104,1,715,4,25,0
277,8,2,2,48,0,295,2,29,1
278,1,2,2,46,1,334,3,23,0
279,1,2,2,21,0,247,4,57,0
280,3,2,2,20,1,259,4,22,0
281,1,2,2,63,0,637,2,28,1
282,11,2,2,56,1,577,2,39,0
283,8,2,2,30,1,472,2,37,0
284,1,2,2,39,0,412,1,47,1
285,1,2,2,32,0,310,2,52,1
286,8,2,2,52,1,280,4,51,0
287,6,2,2,88,1,661,3,34,0
288,2,2,2,78,1,868,4,29,1
289,5,1,2,34,1,124,2,26,0
290,6,2,2,86,1,583,2,33,0
291,1,1,2,58,1,607,3,21,0
292,1,2,2,60,1,598,4,25,1
293,3,2,2,74,1,799,4,31,1
294,2,2,1,90,1,715,3,24,1
295,1,2,1,15,0,157,2,65,0
296,7,2,2,62,1,565,4,28,0
297,3,2,2,76,1,340,2,29,1
298,1,2,2,58,1,421,3,24,0
299,15,1,2,50,1,598,3,46,1
300,1,2,2,21,0,208,4,58,0
301,1,2,1,61,0,469,4,30,1
302,3,2,2,66,1,448,3,25,1
303,6,1,2,82,1,574,1,35,0
304,1,2,2,104,0,1087,1,28,1
305,1,2,2,8,0,130,1,37,0
306,3,2,2,74,1,691,1,29,0
307,11,2,2,46,1,265,2,47,1
308,1,2,2,28,1,244,1,21,0
309,1,2,2,38,1,415,4,25,1
310,3,2,2,56,1,487,4,30,1
311,7,1,2,60,0,286,2,41,0
312,1,2,2,74,1,682,3,22,0
313,3,2,2,34,1,298,3,27,1
314,4,2,1,20,1,385,4,25,0
315,8,2,2,62,0,577,4,43,1
316,3,2,2,44,1,523,2,26,0
317,4,1,2,22,1,79,2,30,0
318,1,2,2,44,0,415,2,29,1
319,4,2,2,78,1,643,1,28,0
320,1,2,2,24,0,205,1,59,1
321,5,2,2,24,1,325,3,31,0
322,4,2,2,60,0,448,1,25,1
323,1,2,2,40,0,322,2,36,1
324,14,2,2,66,1,304,4,43,1
325,3,2,2,64,0,571,1,21,0
326,2,2,2,42,1,268,1,24,0
327,2,2,2,64,1,553,4,30,1
328,1,2,2,59,0,553,1,37,0
329,3,2,2,72,1,865,1,23,1
330,7,2,2,64,1,424,1,37,0
331,9,2,2,38,0,193,4,46,0
332,3,1,2,32,1,481,1,25,0
333,1,2,1,77,0,799,2,41,1
334,1,2,2,17,0,208,1,44,0
335,2,1,2,36,1,217,2,22,0
336,1,2,2,86,1,937,2,26,1
337,1,2,1,45,0,514,4,44,0
338,1,2,2,41,0,436,2,44,1
339,10,2,2,68,1,526,4,33,1
340,1,2,2,74,0,697,2,41,1
341,2,2,2,26,1,277,3,22,0
342,2,1,2,42,1,277,4,36,0
343,2,1,2,70,0,460,3,22,0
344,1,2,2,43,0,541,2,33,0
345,1,1,2,61,0,604,3,57,0
346,9,2,2,72,1,655,2,49,0
347,2,2,1,38,1,361,4,22,0
348,1,2,1,23,0,205,1,23,0
349,4,1,2,38,1,154,2,26,0
350,6,1,2,64,0,730,2,37,1
351,1,1,2,78,0,766,1,29,0
352,1,2,2,46,0,436,2,30,0
353,4,1,2,56,0,532,2,46,0
354,2,1,2,24,1,316,3,24,0
355,1,1,2,71,0,781,3,21,0
356,1,2,2,40,0,412,2,49,1
357,2,2,1,80,1,499,4,28,1
358,14,2,1,60,0,697,3,44,1
359,13,1,2,80,1,559,2,48,0
360,2,2,2,72,1,595,4,29,1
361,6,2,2,66,1,436,3,29,1
362,1,2,2,38,0,394,1,63,0
363,6,2,2,74,0,676,2,65,0
364,1,2,2,21,0,655,3,67,1
365,5,2,2,50,1,547,3,30,0
366,6,1,2,56,1,520,3,30,0
367,1,2,2,38,0,328,2,29,1
368,1,2,2,34,0,130,2,21,0
369,4,1,2,32,1,325,2,22,0
370,2,2,2,56,1,484,1,45,1
371,4,2,2,96,1,652,4,25,1
372,1,2,2,46,1,0,4,21,0
